idx,score,mean_dist,sd_dist,cv_dist,min_dist,max_dist,range_dist,skewness,kurtosis,bottleneck_w1,bottleneck_w2,bottleneck_dist,potential_mean,improvement,km_cluster,topology
15558,85.21931882,0.92685175,0.110597834,0.119326346,0.6783815,1.0970107,0.41862923,-0.41910896,-0.15952706,трагедия,картина,0.6783815,0.93927526,0.012423515,3,Uniform
15559,89.01710138,0.95423216,0.082747385,0.0867162,0.7858057,1.1466589,0.3608532,-0.07867265,0.36132073,сосна,яма,0.7858057,0.9626535,0.008421361,0,Uniform
15560,89.57610329,0.95810753,0.08697849,0.090781555,0.7841442,1.0839889,0.29984468,-0.386628,-0.8996346,насильник,ботаник,0.7841442,0.9668058,0.008698285,0,Uniform
15561,92.18388618,0.9757115,0.111837335,0.11462131,0.68938595,1.1770315,0.48764557,-0.517602,0.5169127,самолет,небо,0.68938595,0.9900278,0.014316261,3,Uniform
15562,93.41878075,0.98379,0.11047843,0.112298794,0.75611174,1.1864009,0.43028915,0.04197895,-0.7075088,выпендрежник,регистратура,0.75611174,0.99517393,0.011383951,0,Uniform
15563,89.75899084,0.9593674,0.16776381,0.17486921,0.40077394,1.1582904,0.75751644,-1.8514289,3.9445705,остров,архипелаг,0.40077394,0.9872972,0.027929783,1,Star
15564,90.47359349,0.96425277,0.091707624,0.09510745,0.6772034,1.1207501,0.44354665,-1.5403928,3.1063943,соль,воск,0.6772034,0.97860515,0.014352381,1,Uniform
15565,99.53735696,1.0216602,0.1092852,0.10696825,0.8516356,1.1992981,0.34766257,0.026030526,-1.2903132,вышивка,элегия,0.8516356,1.0301613,0.008501053,0,Uniform
15566,83.6080866,0.91463035,0.070814244,0.07742389,0.7721504,1.0238342,0.25168383,-0.31932405,-0.85075855,бестолочь,индульгенция,0.7721504,0.9217545,0.007124126,0,Uniform
15567,94.5094805,0.9907962,0.116621144,0.11770447,0.7815161,1.1630654,0.38154936,-0.38959154,-0.91288424,баркас,дно,0.7815161,1.0012602,0.010463953,0,Uniform
15568,88.61417248,0.9514152,0.10781688,0.113322645,0.71542895,1.1287814,0.4133525,-0.6218083,-0.099603176,ковер,окно,0.71542895,0.9632145,0.0117993355,3,Uniform
15569,87.45738196,0.94321567,0.09189095,0.097423054,0.7909329,1.0815564,0.29062355,-0.16437328,-1.1930677,штырь,прибор,0.7909329,0.95082986,0.0076141953,0,Uniform
15570,91.1707232,0.96896243,0.09312355,0.09610646,0.70808685,1.1209425,0.41285563,-1.0052629,1.4300537,корабль,комета,0.70808685,0.98200625,0.013043821,3,Uniform
15571,88.0085678,0.9471437,0.08465583,0.08938014,0.7960311,1.0820646,0.2860335,-0.1311753,-0.7900317,корчма,кикимора,0.7960311,0.95469934,0.0075556636,0,Uniform
15572,95.17396217,0.9950073,0.12099125,0.12159836,0.57177883,1.1399426,0.5681638,-2.004475,5.179433,боль,сознание,0.57177883,1.0161686,0.021161318,1,Uniform
15573,94.34669386,0.989758,0.13387111,0.13525641,0.5943691,1.1527764,0.55840725,-1.1862031,1.5609474,ангел,рыцарь,0.5943691,1.0095273,0.019769311,1,Uniform
15574,95.71188711,0.99838567,0.101737365,0.10190187,0.8112043,1.1558479,0.3446436,-0.1326158,-1.1241663,параша,вилка,0.8112043,1.0077447,0.009359002,0,Uniform
15575,91.08375311,0.9683779,0.07980272,0.08240866,0.8093182,1.1407323,0.3314141,0.273788,0.093031645,дождь,метро,0.8093182,0.9763309,0.007952988,0,Uniform
15576,93.02854698,0.9812542,0.09126081,0.09300425,0.7873527,1.1286266,0.3412739,-0.23041655,-0.7406075,элегия,приватизация,0.7873527,0.99094933,0.009695113,0,Uniform
15577,91.7414268,0.9727778,0.072161235,0.074180596,0.8374945,1.0803471,0.24285257,-0.35310164,-1.0141741,распределение,сфера,0.8374945,0.97954196,0.0067641735,0,Uniform
15578,88.50415769,0.95064265,0.13306096,0.13996948,0.4681071,1.1865178,0.71841073,-2.182351,6.7412357,парик,очки,0.4681071,0.9747694,0.024126768,1,Uniform
15579,83.04906375,0.91029793,0.09905398,0.1088149,0.60155374,1.0603888,0.45883507,-1.3699435,2.705711,земля,дорога,0.60155374,0.9257351,0.015437186,1,Uniform
15580,95.42095589,0.99656177,0.09351962,0.093842275,0.7958436,1.2074733,0.41162968,0.33236215,0.38725495,автомат,скальпель,0.7958436,1.0065978,0.010035992,0,Uniform
15581,89.05902326,0.9545241,0.103616156,0.10855269,0.7664069,1.1049052,0.33849835,-0.47981262,-0.86469316,черепаха,скала,0.7664069,0.96392995,0.009405851,0,Uniform
15582,100.5869763,1.0278301,0.13775052,0.1340207,0.74560237,1.2786294,0.53302705,-0.45993435,-0.33019567,эксгумация,гносеология,0.74560237,1.0419415,0.0141114,3,Uniform
