word,dat_frequency,mean_score,category,umap_x,umap_y
ворчание,1,92.38566732,UNCATEGORIZED,5.827498,5.8679543
невежество,1,89.46440444,UNCATEGORIZED,8.960664,5.485085
гидролиз,1,89.67426754,UNCATEGORIZED,6.545814,3.2957666
петушок,1,84.98594506,UNCATEGORIZED,-0.09169675,7.983737
абсцисса,1,89.35161999,UNCATEGORIZED,6.242733,4.3689623
овечка,1,90.62189927,UNCATEGORIZED,0.15925726,8.758921
харчевня,1,91.69459414,UNCATEGORIZED,4.3535047,6.8040752
фобос,1,91.69459414,UNCATEGORIZED,3.325405,7.209525
жилка,3,90.87223653666668,UNCATEGORIZED,4.2767787,3.9051385
триас,2,93.11415793,UNCATEGORIZED,1.5373616,6.2516003
выпаривание,1,92.71439907,UNCATEGORIZED,6.5797706,3.1615455
кутюра,1,92.55748528,UNCATEGORIZED,3.8242886,3.1501117
наркозависимость,2,94.37671369,UNCATEGORIZED,6.790573,3.3325403
следователь,1,95.88587732,UNCATEGORIZED,3.2982237,9.385303
подранок,1,86.51640679,UNCATEGORIZED,1.2841257,8.021858
ретривера,1,86.51640679,UNCATEGORIZED,-0.21166342,8.723745
укра,1,93.81742837,UNCATEGORIZED,-0.23450434,5.8741984
талиб,1,90.79805472,UNCATEGORIZED,1.8241224,9.016176
сэр,2,88.16578967000001,UNCATEGORIZED,2.7861602,8.55373
фоллом,1,89.76522442,UNCATEGORIZED,0.8104185,6.659948
караул,1,85.06455143,UNCATEGORIZED,4.9202347,8.363549
индостан,1,95.16960302,UNCATEGORIZED,4.7857084,6.3457694
ожег,1,96.9746229,UNCATEGORIZED,5.1494346,5.921911
миропомазание,1,85.65512317,UNCATEGORIZED,8.090204,7.0766435
энергоблок,1,90.19546585,UNCATEGORIZED,3.0339167,5.959487
стен,1,82.05044638,UNCATEGORIZED,4.2900147,5.4962964
склиф,3,90.65749058333334,UNCATEGORIZED,4.3853908,7.2624483
усидчивость,1,95.16832763,UNCATEGORIZED,9.909428,5.072539
мим,1,83.68971462,UNCATEGORIZED,0.87086403,7.253546
унылость,1,88.65837645,UNCATEGORIZED,9.498596,4.452978
устремленность,1,88.65837645,UNCATEGORIZED,9.679697,5.0881596
водохранилище,1,86.02936907,UNCATEGORIZED,4.363196,5.8632135
жрачка,1,86.02936907,UNCATEGORIZED,3.6964524,2.8519049
бланк,1,84.36805057,UNCATEGORIZED,6.4118047,7.5531087
перегруз,4,93.92339610249999,UNCATEGORIZED,6.897386,6.269761
телодвижение,1,81.95324045,UNCATEGORIZED,8.023293,5.3592577
идолопоклонник,1,77.46380415,UNCATEGORIZED,1.5544263,9.806274
самоуправство,1,77.46380415,UNCATEGORIZED,8.682912,5.6464214
полоскание,1,77.46380415,UNCATEGORIZED,6.4497614,3.652408
инфраструктура,1,86.94174659,UNCATEGORIZED,6.8119183,5.732006
стажировка,1,97.28194071,UNCATEGORIZED,7.0735,5.617654
человеколюбие,2,85.00999675,UNCATEGORIZED,9.386266,5.8281546
жаропонижающее,2,86.936867105,UNCATEGORIZED,4.521088,1.7979497
