word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
самолюбование,2,1.51e-07,-6.82102305270683,2.18,0.9430938,True,9435.0,12319.0
самомнение,1,6.61e-07,-6.179798540514359,2.82,0.97434187,True,11961.0,7514.0
самообладание,1,1.2e-06,-5.920818753952375,3.08,1.0019472,True,11961.0,5703.0
самообман,2,5.13e-07,-6.289882634888183,2.71,0.940892,True,9435.0,8294.0
самообразование,1,3.31e-07,-6.480172006224281,2.52,1.0142955,True,11961.0,9772.0
самообслуживание,1,2.14e-07,-6.669586226650809,2.33,1.0035309,True,11961.0,11268.0
самооговор,1,1.48e-08,-7.8297382846050425,1.17,1.0060812,True,11961.0,16242.0
самоотверженность,2,1.23e-06,-5.910094888560602,3.09,0.91637987,True,9435.0,5646.0
самоотдача,1,2e-07,-6.698970004336019,2.3,1.0041927,True,11961.0,11470.0
самоощущение,1,1.91e-07,-6.718966632752273,2.28,0.9454584,True,11961.0,11624.0
самописец,1,3.8e-07,-6.42021640338319,2.58,0.9473851,True,11961.0,9310.0
самопознание,2,3.55e-07,-6.449771646944906,2.55,1.0260557,True,9435.0,9539.0
самор,1,0.0,,0.0,1.0167625,True,11961.0,16422.0
саморазвитие,1,3.09e-07,-6.510041520575165,2.49,0.88569474,True,11961.0,10021.0
саморазрушение,5,1.82e-07,-6.739928612014925,2.26,0.9286393,True,5709.0,11768.0
самореализация,2,2.34e-07,-6.6307841425898575,2.37,0.91529846,True,9435.0,10967.0
саморегуляция,1,8.71e-08,-7.059981844992337,1.94,0.86745405,True,11961.0,13882.0
самородок,5,7.08e-07,-6.149966742310231,2.85,0.9805248,True,5709.0,7302.0
самосвал,25,7.08e-07,-6.149966742310231,2.85,0.9696171,True,1133.0,7302.0
самосожжение,1,3.63e-07,-6.440093374963888,2.56,0.952828,True,11961.0,9469.0
самосознание,5,1.07e-06,-5.97061622231479,3.03,0.9815332,True,5709.0,6023.0
