timestamp,score,words,time_spent
2026-02-18T12:57:23.391Z,96.07915685,"столб, хлеб, художник, шопот, плен, белка, блог",57
2026-02-18T12:57:26.801Z,83.08967383,"месяц, собака, кастрюля, лодка, ветер, книга, алгоритм",123
2026-02-18T12:57:28.545Z,88.29528067,"коромысло, галактика, суспензия, контрфорс, семантика, интеграл, лист",144
2026-02-18T12:57:38.628Z,88.96854604,"монах, собака, дождь, носок, кафель, телевизор, химзавод",124
2026-02-18T12:57:47.838Z,76.57385736,"слово, вода, жук, ложка, дерево, паркет, стакан",62
2026-02-18T13:00:04.261Z,86.18773189,"трава, дверь, космос, надежда, компот, степень, купол",113
2026-02-18T13:00:09.003Z,86.04554753,"вода, таракан, топор, лист, краска, фейерверк, жвачка",75
2026-02-18T13:00:18.481Z,95.54715421,"базис, меч, явка, дрезина, лимонад, канитель, фантасмагория",125
2026-02-18T13:00:24.466Z,84.72246359,"квант, помело, гендер, алтын, жопа, скука, вентилятор",130
2026-02-18T13:02:23.051Z,80.18347731,"кушак, кулак, кум, курица, капот, кирпич, сыр",40
2026-02-18T13:02:34.189Z,79.61615326,"кровать, лось, школа, ангел, машина, шар, картина",86
2026-02-18T13:02:49.492Z,80.10047036,"хлеб, столб, стих, тело, жизнь, лев, плен",73
2026-02-18T13:03:00.705Z,92.04969558,"представитель, плевок, клад, соотношение, источник, прикид, удовольствие",85
2026-02-18T13:03:07.577Z,82.48132886,"бутылка, картина, карандаш, одеяло, заяц, башня, полка",79
2026-02-18T13:03:08.912Z,85.01181465,"кирпич, глушитель, хлеб, штанга, процессор, колодец, облако",120
2026-02-18T13:04:08.259Z,76.18198774,"болезнь, здоровье, богатство, нищета, ветер, ужас, живот",62
2026-02-18T13:04:31.595Z,82.36565016,"хлеб, столб, лес, заря, вопрос, боль, обезьяна",96
2026-02-18T13:04:39.831Z,74.3518305,"коробка, стакан, дом, стол, щелкунчик, нож, дверь",62
2026-02-18T13:05:31.251Z,89.50518615,"кушак, кулак, кум, курень, кино, кол, калоша",67
2026-02-18T13:05:50.082Z,93.76038454,"наполеон, фен, орангутанг, диффузия, младенец, сочинение, шишка",106
2026-02-18T13:05:52.354Z,94.33784097,"приключение, свод, приседание, поселок, дно, оранжерея, дискурс",127
2026-02-18T13:06:09.230Z,94.21413862,"олень, истина, печаль, канапе, ненастье, менеджер, перина",70
2026-02-18T13:07:13.870Z,86.67722238,"шарм, шакал, ширма, шар, шепот, шелк, шлем",91
2026-02-18T13:07:31.573Z,90.26903524,"бампер, короста, эмбрион, стоицизм, огниво, корабль, подвеска",226
2026-02-18T13:07:54.859Z,86.89494946,"столб, хлеб, художник, блок, овца, красота, шелест",132
2026-02-18T13:08:25.373Z,91.45215414,"пергамент, скорость, геморрой, губка, прием, засада, умница",110
2026-02-18T13:08:54.986Z,60.86444371,"холод, жара, лед, вода, небо, земля, река",75
2026-02-18T13:09:12.324Z,87.00207388,"хлор, производная, легитимность, подошва, провал, имманентность, понос",78
2026-02-18T13:10:00.238Z,77.9734759,"нега, свищ, лярд, крок, бамба, бельэтаж, заморочка",85
2026-02-18T13:10:08.202Z,90.68966639,"баловень, тля, речитатив, дивергенция, пароль, бездна, крокет",110
2026-02-18T13:11:56.932Z,83.8318382,"саванна, гангрена, быт, цепень, каракуль, лепрозорий, парсек",60
2026-02-18T13:11:58.282Z,89.97550103,"арбуз, квадрат, проницательность, каламбур, дренирование, совпадение, мужество",82
2026-02-18T13:12:00.619Z,94.98412682,"сука, щелочь, сомнение, квазар, ихтиандр, горб, красота",172
2026-02-18T13:12:39.083Z,91.23340464,"похоть, лапоть, палиндром, упрек, карма, мрак, селедка",86
2026-02-18T13:12:51.127Z,92.68823043,"мужик, уключина, бес, мордора, бордюр, скорость, разгрузка",75
2026-02-18T13:13:15.925Z,91.61037834,"снег, эмпатия, футбол, редуктор, квант, памперс, фуга",102
2026-02-18T13:13:26.945Z,93.56220333,"устье, ксенон, апаш, комбинация, стеноз, горе, дыня",75
2026-02-18T13:13:39.534Z,92.01264428,"снег, бензин, абрикос, каскад, кромка, аббревиатура, катет",98
2026-02-18T13:15:18.749Z,81.45151341,"диссоциация, ассамблея, апостроф, гуманизм, электролит, марксизм, тетраэдр",119
2026-02-18T13:15:57.471Z,88.30016945,"каша, лыжа, ведро, карта, массаж, река, облако",70
2026-02-18T13:15:59.568Z,88.53103182,"жопа, кусочек, ласточка, марка, шиповник, лох, трещотка",105
2026-02-18T13:16:20.984Z,88.30985902,"фонарь, слон, кварк, физкультура, профессор, азиат, вода",70
2026-02-18T13:17:32.197Z,94.88775055,"кварк, решение, теща, хорей, электролит, сомнамбулизм, караван",153
2026-02-18T13:18:09.290Z,95.1288551,"колесница, пар, гамак, либидо, синь, тревога, клиппер",48
2026-02-18T13:18:20.798Z,91.64516198,"подоконник, дрова, крот, море, экскаватор, хорей, дрозофила",144
2026-02-18T13:19:13.248Z,88.5476905,"даль, близь, внутренность, наружность, пузырь, лакуна, грифель",124
2026-02-18T13:20:24.361Z,92.21081189,"нота, золотарь, контроллер, экскаватор, гравитация, самопознание, пассеровка",149
2026-02-18T13:20:28.478Z,90.5722755,"кимоно, редис, балалайка, семерка, стон, влечение, гобой",75
2026-02-18T13:20:49.506Z,88.51543997,"кошка, бревно, корыто, сура, клеймо, корысть, зрелость",88
2026-02-18T13:21:13.962Z,91.07817068,"зеркало, портьера, кефир, семя, глупость, мудрость, цилиндр",80
